Sentimen,Comment
0,"Makin jelek aja anaknya, padahal ibu ayahnya cakep2"
0,Jijik astagah sok bat cakep njs
1,Kaya tulus ya mukanya klo diliat2
0,"Jadi diri sendiri, jangan jadi ular apalagi dugong"
0,Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..
1,nikmatnya bisa menghirup oksigen dengan bebas ya :)
0,Mudah mudahan lu jadi gembel. Amin ya Allah
1,masih good vibes walaupun sedang lapar
0,Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong
1,"Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak"
0,Cocok banget sama2 orang gak bener biar lah dia hancur bersama
1,Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2
1,Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom
0,Ganteng kagak berbakat juga kagak kelebihannya dimana cobak?
0,ga nyadar aja nih sampah HAHA
1,Yakinin dulu niatnya bg… Semoga sukses
1,smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..
0,yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek babi si?
0,Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya
1,Jangan ada hitam diatas putih. Langsung proses
0,"Udah diedit gitu, ketiak lu tetap hitam"
0,Cowo foto liatin lidah nya jam ah jijik gue. Apa lagi minus akhlak kek gini
0,Apaan sih gak jelas hidupnya
0,"3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw"
1,"Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:("
0,Kok jatohnya malah kek ajg sih rikkk
1,Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg
1,Banyak komen yg support malah ketutup yg hate bgst emang IG
1,Rambutnya kak modd bagussss… Item berkilauu
0,Anjing memang anak gak tau diri. ibunya sampai nangis2
0,MUKA KAMPUNG GAYA SOK SOAN KOTA NYET
0,Mukalu kek aktor bokep bgst mending ngobat aja luu
0,Ini diedit biar langsing padahal mah klo live bomber badannya
1,Mel disini kamu keliatan cakep
1,Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss
1,Kayak Randy Pangalila klo gk pake kacamata
1,Nagita masa kaya anak muda coba cantikk bangeett
1,Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren
1,Koreaable banget face rafathar cakep ganteng manis banget
1,Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..
0,MATI KAU NAJIS KONTOL BANGSAT MATI KAU
0,"Etdah ninggalin yang baik demi lonte, situ waras mas wkwk"
0,Apaan si melet2 sok ganteng
1,"Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo"
1,"Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi."
1,Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas
0,Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya
1,Kereennnn.. dari bully.an netizen menjadikanmu mau belajar
0,Mending masuk penjara lagi aja dah seumur hidup
1,Mending yang follow pada unfollow Udeh gausah ribet
0,Pengen gw pacul mulut lo!! woii anjeng busuk
0,woi anak anjing ngapain lu hidup bgst
0,"dasar orang tua gada akhlak,ngajarin anaknya yang ga bener"
0,Asli gak ada bebet bobo ni anak. kasihan sekali.
1,Mukbang makanan sehat dong kak. Salad jepang gituuu.
0,jari jari kaki kayak jarinya tukang panggul
0,Iuu milih iblis drpd bidadarii kwkwkw jyjyq
1,"Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!"
1,"Bukan keliatan ragu, tapi keliatan cantik"
1,Semangat untuk belajar ya… saya uga gak bisa bahasa inggris
0,Pantes banyak utang buat bayar lonte
0,Heee sampah lu udah gua maafin TAPI BOONG GOBLOK
1,"Wah ngehina fisik ni orang,ga bener ya wkwkwkwk"
0,Muka nya muka kolot wkwk bukan muka bayi2 lucu gt
1,Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss
1,HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!
0,ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA
0,Muka lu keriput kek aki aki
1,Pantesan kak Jessica bilang bang jerom beruang wkwkwk
1,kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :
1,"Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol"
1,iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul
0,Lu Mati ajalah . Udah biar gak bikin ribet
1,Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga
0,Manusia apa hewan sih kok gak punya hati banget
0,@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???
0,Pantes disini mulainya si ajg berulah
1,Ya ampun kak makan apa sih kok bisa cantik banget
1,"kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih"
1,"Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab"
1,Kakak sama adek sama sama cantik ya aku suka sama dua duanya
1,paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri
0,"ngapain juga nginap di rumah cowo, gaada keluarga lg lo?"
0,"Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego"
0,Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?
1,Gua kira keluar dari PENJARA bisa berubah
0,Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik
1,"Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya"
1,Cantik banget kalo meldi muka natural kek gini
1,Kok makin dewasa makin imutt aih cipaaaaaa
1,Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha
1,Saya kok suka ya sama mereka harmonis
1,Tambah cantik aja rosa meldianti
1,Mama gigi gapernah ga cantik sih kalo menurut aku.
1,Manusia apa bidadari sih herann deh cantik terus ????
1,"makin cantik mel, semangat dietnyaa"
1,"@angelkmgi ini paling cute sih, ganteng parah msh kecil jg"
1,Ngga ada niatan ngadain pengajian gitu bang?
1,Gemeshh rasanya kaya aku pengen cubit
0,muka kek banci dih najis
1,"ka yayaaa, why are you always stunning pretty girl."
0,Akhirnya jesica bisa lepas dari kambing hitam ini
1,Slide kedua mukanya mau gaya apa aja tetep cantikk
0,"bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri"
1,udah dong. Lagi ngunyah aja cute banget
0,Kasian gue sama anjingnya dipegang dajjal
0,Cowoknya ga ada cakep cakepnya
1,Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat
1,Jujur ya kamu kalo anteng ga buat masalah cantik mel
0,"Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama jadi jijik kenapa gak sekalian bisu aja"
1,"Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya."
0,mukak lu lebih buruk daripada anjing lu
0,Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama
0,"Ini bukan era lo lgi, wkwkw skrng lo penuh dengan cacimaki, telen ludah sendiri"
1,"aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan"
1,Tuhan yesus baik semangat rick
0,Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu
1,Jangan patah semngat kak sukses terus
1,Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say
1,"Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya"
0,Jelek macam buntut kuali hahaha
1,"meldi makin bersinar yaaa, pertahanin karir jgn di sia siain"
1,Kalian kaloga cocok mau di paksain?
0,ni anak lahir krna kondom bocor.. ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia2in bgsad
1,kok kalian komennya pada kek gini ya
0,Dia memutuskan menjadi tumbal apartment
1,kesini cmn mo liat komen aja
1,astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener
0,kumat… lama semedinya segini keluarnya
0,"cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang"
1,pada julid padahal kan meldi gak nyusahin kalian
1,"Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif"
0,Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek
1,Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu
1,"Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan"
0,Matanya kayak katarak anjir AHAHAH
1,Yang penting ada niat.. dan keberanian
0,Keliatan bgt anjingnya ketakutan foto sama dakjal
